,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
11325,b'2016-12-10',texas-san-antonio,b'',b'SE Oklahoma St.',0,b'W',b'88',b'69',b'33',b'60',b'.550',b'13',b'24',b'.542',b'9',b'15',b'.600',b'9',b'31',b'22',b'12',b'1',b'11',b'20',b'23',b'46',b'.500',b'11',b'21',b'.524',b'12',b'19',b'.632',b'4',b'23',b'13',b'5',b'3',b'18',b'16',False
11326,b'2016-12-18',texas-san-antonio,b'@',b'Texas A&M-Corpus Christi',1,b'L',b'69',b'73',b'26',b'55',b'.473',b'7',b'22',b'.318',b'10',b'21',b'.476',b'13',b'35',b'11',b'2',b'2',b'14',b'26',b'26',b'56',b'.464',b'1',b'10',b'.100',b'20',b'28',b'.714',b'9',b'27',b'3',b'7',b'2',b'8',b'22',False
11327,b'2016-12-21',texas-san-antonio,b'',b'Utah Valley',1,b'W',b'66',b'60',b'23',b'65',b'.354',b'6',b'23',b'.261',b'14',b'24',b'.583',b'10',b'42',b'12',b'7',b'2',b'12',b'18',b'19',b'60',b'.317',b'8',b'30',b'.267',b'14',b'20',b'.700',b'10',b'45',b'14',b'4',b'4',b'16',b'22',False
11328,b'2016-12-29',texas-san-antonio,b'',b'East Central',0,b'W',b'79',b'75',b'28',b'58',b'.483',b'8',b'19',b'.421',b'15',b'22',b'.682',b'8',b'41',b'18',b'7',b'1',b'18',b'16',b'28',b'70',b'.400',b'9',b'32',b'.281',b'10',b'16',b'.625',b'11',b'30',b'17',b'6',b'1',b'11',b'18',False
11329,b'2017-01-01',texas-san-antonio,b'',b'UTEP',1,b'W',b'67',b'55',b'19',b'52',b'.365',b'5',b'21',b'.238',b'24',b'30',b'.800',b'9',b'32',b'11',b'3',b'1',b'9',b'19',b'21',b'47',b'.447',b'3',b'7',b'.429',b'10',b'19',b'.526',b'4',b'29',b'11',b'3',b'3',b'15',b'21',False
11330,b'2017-01-05',texas-san-antonio,b'@',b'Southern Miss',1,b'L',b'59',b'77',b'23',b'60',b'.383',b'5',b'20',b'.250',b'8',b'10',b'.800',b'7',b'31',b'10',b'6',b'2',b'12',b'15',b'28',b'55',b'.509',b'8',b'24',b'.333',b'13',b'18',b'.722',b'7',b'33',b'9',b'5',b'5',b'11',b'16',False
11331,b'2017-01-07',texas-san-antonio,b'@',b'Louisiana Tech',1,b'W',b'69',b'68',b'27',b'61',b'.443',b'4',b'16',b'.250',b'11',b'17',b'.647',b'12',b'40',b'12',b'3',b'3',b'12',b'17',b'24',b'60',b'.400',b'7',b'26',b'.269',b'13',b'20',b'.650',b'9',b'30',b'17',b'7',b'8',b'9',b'16',False
11332,b'2017-01-12',texas-san-antonio,b'',b'Florida Atlantic',1,b'W',b'68',b'63',b'26',b'61',b'.426',b'4',b'17',b'.235',b'12',b'21',b'.571',b'14',b'38',b'8',b'5',b'3',b'7',b'14',b'24',b'56',b'.429',b'7',b'16',b'.438',b'8',b'20',b'.400',b'9',b'34',b'9',b'2',b'1',b'11',b'21',False
11333,b'2017-01-14',texas-san-antonio,b'',b'Florida International',1,b'W',b'57',b'55',b'17',b'53',b'.321',b'3',b'14',b'.214',b'20',b'24',b'.833',b'11',b'40',b'7',b'6',b'1',b'12',b'16',b'20',b'58',b'.345',b'7',b'24',b'.292',b'8',b'9',b'.889',b'8',b'31',b'8',b'4',b'4',b'12',b'19',False
11334,b'2017-01-21',texas-san-antonio,b'@',b'UTEP',1,b'L',b'39',b'59',b'14',b'58',b'.241',b'2',b'22',b'.091',b'9',b'18',b'.500',b'9',b'33',b'7',b'3',b'0',b'12',b'21',b'22',b'47',b'.468',b'5',b'15',b'.333',b'10',b'19',b'.526',b'4',b'41',b'8',b'2',b'3',b'13',b'18',False
